   139/299     7.42G   0.01993   0.01646  0.001712    0.0381        82       640    0.9792    0.9773    0.9878     0.793   0.03445   0.06021  0.009239
   140/299     7.42G   0.02017   0.01539  0.002006   0.03756        36       640    0.9763     0.981    0.9874    0.8049    0.0339   0.05922  0.009306
   141/299     7.42G    0.0189   0.01587  0.001777   0.03655        39       640    0.9793    0.9812    0.9879    0.7969   0.03502   0.05887  0.009017
   142/299     7.42G   0.01991   0.01525  0.001954   0.03712        20       640    0.9791    0.9784    0.9868    0.8015   0.03364    0.0592  0.009141
   143/299     7.42G   0.02029   0.01558  0.001872   0.03775       110       640    0.9806    0.9781    0.9881    0.8003   0.03453   0.06003  0.009046
   144/299     7.42G   0.01931   0.01568  0.001633   0.03663        95       640    0.9804    0.9796    0.9876    0.8032   0.03397   0.06114  0.008844
   145/299     7.42G   0.01968   0.01631  0.001853   0.03784        57       640    0.9798    0.9797    0.9876    0.8015   0.03425   0.05957  0.008727
   146/299     7.42G    0.0197   0.01559  0.001763   0.03705       170       640    0.9721    0.9863    0.9878       0.8   0.03415   0.05953  0.008638
   147/299     7.42G   0.01958   0.01443  0.001652   0.03566        84       640    0.9773    0.9825    0.9871    0.7944   0.03464   0.05877  0.008681
   148/299     7.43G   0.01942   0.01647  0.001397   0.03729        81       640     0.978    0.9845    0.9867    0.8021   0.03391    0.0602  0.008775
   149/299     7.43G   0.01948   0.01533   0.00158   0.03639        68       640    0.9771    0.9826    0.9871    0.8077   0.03362   0.06057  0.008746
   150/299     7.43G   0.01918   0.01353  0.001765   0.03447        47       640    0.9783    0.9807    0.9877    0.8065   0.03369   0.06065  0.008785
   151/299     7.43G   0.01887   0.01436  0.001612   0.03484       102       640    0.9786    0.9806    0.9872    0.8075   0.03307   0.05974  0.008678
   152/299     7.43G   0.01934   0.01696  0.001983   0.03828        49       640    0.9774    0.9817    0.9854    0.8057   0.03349   0.05742  0.008756
   153/299     7.43G   0.01946   0.01534  0.001641   0.03644        55       640    0.9798    0.9789    0.9867    0.8104   0.03363   0.05904   0.00886
   154/299     7.43G   0.01906   0.01407  0.001587   0.03472        26       640    0.9788    0.9771    0.9865     0.803   0.03387   0.06014  0.008862
   155/299     7.43G   0.01935   0.01382  0.001613   0.03478        43       640    0.9758    0.9836    0.9866     0.792   0.03566   0.05924  0.008781
   156/299     7.43G   0.01948   0.01477  0.001773   0.03601       145       640    0.9794    0.9817    0.9881    0.8103   0.03341   0.05895  0.008529
   157/299     7.43G   0.01909   0.01396  0.001497   0.03455        67       640     0.978    0.9842    0.9855    0.8015   0.03521   0.05752  0.008488
   158/299     7.43G   0.01862   0.01578   0.00141   0.03581        83       640    0.9746    0.9858    0.9883    0.8092   0.03406   0.05993  0.008498
   159/299     7.43G   0.01837   0.01389   0.00159   0.03385       112       640    0.9828    0.9781    0.9889    0.8078    0.0342   0.06164  0.008539
   160/299     7.43G   0.01893   0.01412  0.001721   0.03477        49       640    0.9753    0.9862    0.9888    0.8099   0.03363   0.06039  0.008525
   161/299     7.43G   0.01866   0.01553  0.001654   0.03585        74       640     0.975    0.9846    0.9884    0.8038   0.03398   0.05883  0.008472
   162/299     7.43G    0.0186   0.01471   0.00138   0.03469        17       640    0.9809    0.9833    0.9894    0.8056    0.0339   0.05931   0.00835
   163/299     7.43G   0.01917   0.01557  0.001659    0.0364        70       640    0.9811    0.9798    0.9856    0.7996   0.03379   0.06024  0.008485
   164/299     7.43G   0.01827   0.01459   0.00161   0.03447        86       640    0.9791    0.9841    0.9861    0.8082   0.03365   0.06078  0.008525
   165/299     7.43G    0.0187   0.01463  0.001548   0.03488        55       640    0.9788    0.9822    0.9874    0.8094   0.03299   0.05988  0.008639
   166/299     7.43G   0.01806   0.01599  0.001499   0.03555        92       640    0.9761    0.9848    0.9889    0.8143   0.03267   0.05975  0.008539
   167/299     7.43G   0.01864   0.01391  0.001556    0.0341        79       640    0.9843     0.976    0.9899    0.8122   0.03247   0.06027  0.008529
   168/299     7.43G   0.01904   0.01479  0.001435   0.03526        77       640     0.982     0.978    0.9897    0.8094   0.03309   0.06031  0.008586
